county,A,B,C
臺北市,70769 ,685830 ,875854 
新北市,112620 ,959631 ,1393936 
桃園市,63132 ,529749 ,718260 
臺中市,84800 ,646366 ,967304 
臺南市,41075 ,339702 ,786471 
高雄市,55309 ,610896 ,1097621 
新竹縣,18435 ,154224 ,152380 
苗栗縣,15222 ,164345 ,147034 
彰化縣,35060 ,291835 ,436336 
南投縣,13315 ,133791 ,152046 
雲林縣,15331 ,138341 ,246116 
嘉義縣,11138 ,98810 ,197342 
屏東縣,14021 ,179353 ,317676 
宜蘭縣,10739 ,90010 ,173657 
花蓮縣,6869 ,111834 ,66509 
臺東縣,4163 ,67413 ,44092 
澎湖縣,2583 ,20911 ,27410 
基隆市,11878 ,99360 ,114966 
新竹市,14103 ,102725 ,144274 
嘉義市,6204 ,56269 ,99265 
金門縣,1636 ,35948 ,10456 
連江縣,188 ,4776 ,1226 
